,fname,labels,mids,split
46,4283,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
47,4284,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
48,4285,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
49,4286,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
50,4287,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
51,4288,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
52,4289,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
53,5314,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
54,4290,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
55,4291,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
56,5310,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
57,64703,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
58,5312,"['Electric guitar', 'Bass guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/018vs,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
59,64704,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
60,64706,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
61,64707,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
62,64708,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
63,5315,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
64,5317,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
65,64711,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
66,64712,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
67,64714,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
68,64715,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
69,64717,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
70,64718,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
71,64720,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
72,64721,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
73,64722,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
74,64723,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
75,64724,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
76,64725,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
77,64726,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
78,64727,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
79,64728,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
80,64729,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
81,64730,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
82,64731,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
83,64732,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
84,64733,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
85,64734,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
86,64736,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
87,64737,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
88,64738,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
89,5350,"['Electric guitar', 'Bass guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/018vs,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
90,5351,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
91,193768,"['Electric guitar', 'Bass guitar', 'Crash cymbal', 'Hi-hat', 'Bass drum', 'Drum', 'Snare drum', 'Drum kit', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music', 'Percussion', 'Cymbal']","/m/02sgy,/m/018vs,/m/0bm0k,/m/03qtq,/m/0bm02,/m/026t6,/m/06rvn,/m/02hnl,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf,/m/0l14md,/m/01qbl",val
92,64739,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
93,64740,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
94,64747,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
95,266476,"['Electric guitar', 'Bass guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/018vs,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
96,5357,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
97,64750,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
98,64742,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
99,5360,"['Electric guitar', 'Bass guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/018vs,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
100,64753,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
101,64745,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
102,64755,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
103,5355,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
104,64748,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
105,64749,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
106,64751,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
107,64752,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
108,64754,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
109,5370,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
110,5364,"['Electric guitar', 'Bass guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/018vs,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
111,64764,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
112,5365,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
113,64758,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
114,64767,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
115,64768,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
116,64769,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
117,5369,"['Electric guitar', 'Bass guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/018vs,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
118,64763,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
119,64766,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
120,5376,"['Electric guitar', 'Bass guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/018vs,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
121,64765,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
122,64775,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
123,64770,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
124,5379,"['Electric guitar', 'Bass guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/018vs,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
125,64771,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
126,64772,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
127,64774,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
128,64773,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
129,64776,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
130,64777,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
131,232713,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",val
132,64779,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
133,232715,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",val
134,64781,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
135,232717,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",val
136,232720,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",val
137,64787,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
138,64788,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
139,64789,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
140,64790,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
141,64791,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
142,64778,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
143,232723,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",val
144,64794,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
145,64792,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
146,378143,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",val
147,378144,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",val
148,64780,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
149,5354,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
150,5356,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
151,97616,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
152,201043,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",val
153,5359,"['Electric guitar', 'Bass guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/018vs,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
154,97622,"['Electric guitar', 'Guitar', 'Plucked string instrument', 'Musical instrument', 'Music']","/m/02sgy,/m/0342h,/m/0fx80y,/m/04szw,/m/04rlf",train
